name,address,phone,website,category,rating,review_count,latitude,longitude
Wapda Town Rent A Car,"50 A Street No. 1, Block F1 Block F 1 Wapda Town Phase 1 Lahore, 52140, Pakistan",+92 326 8045703,https://rentacarwapdatown.online,Car rental agency,4.9,130,31.4307768,74.2651351
Tan Tours & Car Rental - Lahore | Luxury Cars & Drivers,"Al Wahab Trade Center, 240-D PIA Main Boulevard، Roundabout, WAPDA Town Lahore, 54770, Pakistan",+92 300 8887578,https://tancarrental.com,Car rental agency,4.9,76,31.4423287,74.2766631
Malik maaz Car Rental Services,"WAPDA Town Block G 1 Wapda Town Phase 1 Lahore, 54000, Pakistan",+92 314 2055883,https://sites.google.com,Car rental agency,5.0,29,31.4311985,74.2643582
Azan Rent A Car Wapda Town,"Near 52 Street No. 1, WAPDA Town Block F 1 Wapda Town Phase 1 Lahore, 52140, Pakistan",+92 326 4605374,https://wa.me,Car rental agency,,,31.4304932,74.2652523
IFTIKHAR RENT A CAR TRAVEL SERVICE,"242 G5, 1 Phase, WAPDA Town Lahore, 54770, Pakistan",+92 321 4041414,,Car rental agency,5.0,38,31.4303247,74.2546749
